dataset,filename,severity,spatial_score,method,psnr,ssim
LSUI,3031.jpg,Mild,4.816196918487549,Uniform guide,26.09535026550293,0.9028738141059875
LSUI,3032.jpg,Mild,5.1482696533203125,Uniform guide,30.060272216796875,0.9007793068885803
LSUI,3033.jpg,Mild,4.823538780212402,Uniform guide,25.100927352905273,0.8754135966300964
LSUI,3034.jpg,Mild,4.284116744995117,Uniform guide,23.306533813476562,0.8602270483970642
LSUI,3035.jpg,Mild,4.688815116882324,Uniform guide,26.026792526245117,0.9203971028327942
LSUI,3036.jpg,Moderate,7.700192451477051,Uniform guide,27.130517959594727,0.8615793585777283
LSUI,3029.jpg,Moderate,6.833888530731201,PROTEUS,29.350143432617188,0.9112743735313416
LSUI,3030.jpg,Moderate,6.599025249481201,PROTEUS,27.92369842529297,0.9136519432067871
LSUI,3031.jpg,Mild,4.816196918487549,PROTEUS,27.35610580444336,0.9328548312187195
LSUI,3032.jpg,Mild,5.1482696533203125,PROTEUS,30.06777000427246,0.9015652537345886
LSUI,3033.jpg,Mild,4.823538780212402,PROTEUS,27.108238220214844,0.9005141258239746
LSUI,3034.jpg,Mild,4.284116744995117,PROTEUS,28.279911041259766,0.9189221262931824
LSUI,3035.jpg,Mild,4.688815116882324,PROTEUS,27.512271881103516,0.9239962100982666
LSUI,3036.jpg,Moderate,7.700192451477051,PROTEUS,27.41381072998047,0.8605759739875793
LSUI,3037.jpg,Moderate,7.198426246643066,Input,18.378820419311523,0.7588617205619812
LSUI,3038.jpg,Mild,5.5658369064331055,Input,20.302627563476562,0.8441896438598633
LSUI,3039.jpg,Mild,5.031431198120117,Input,19.025386810302734,0.8219053149223328
LSUI,3040.jpg,Moderate,6.949172496795654,Input,22.71823501586914,0.8058478236198425
LSUI,3041.jpg,Moderate,6.5394487380981445,Input,18.461231231689453,0.8329634070396423
LSUI,3042.jpg,Moderate,6.4180779457092285,Input,19.799840927124023,0.8544848561286926
LSUI,3043.jpg,Mild,2.116826295852661,Input,16.13986587524414,0.8278589844703674
LSUI,3044.jpg,Severe,10.224639892578125,Input,17.856281280517578,0.8273813128471375
LSUI,3037.jpg,Moderate,7.198426246643066,WWE-UIE,29.8719425201416,0.8980007767677307
LSUI,3038.jpg,Mild,5.5658369064331055,WWE-UIE,27.73799705505371,0.9215282797813416
LSUI,3039.jpg,Mild,5.031431198120117,WWE-UIE,28.427248001098633,0.9090747237205505
LSUI,3040.jpg,Moderate,6.949172496795654,WWE-UIE,28.363916397094727,0.8476372361183167
LSUI,3041.jpg,Moderate,6.5394487380981445,WWE-UIE,28.750886917114258,0.9075494408607483
LSUI,3042.jpg,Moderate,6.4180779457092285,WWE-UIE,28.638669967651367,0.9328843951225281
LSUI,3043.jpg,Mild,2.116826295852661,WWE-UIE,18.242246627807617,0.8393487334251404
LSUI,3044.jpg,Severe,10.224639892578125,WWE-UIE,28.443801879882812,0.9020801186561584
LSUI,3037.jpg,Moderate,7.198426246643066,Uniform guide,24.520668029785156,0.8585309386253357
LSUI,3038.jpg,Mild,5.5658369064331055,Uniform guide,23.611034393310547,0.9000673294067383
LSUI,3039.jpg,Mild,5.031431198120117,Uniform guide,29.01583480834961,0.9072250723838806
LSUI,3040.jpg,Moderate,6.949172496795654,Uniform guide,28.102584838867188,0.8893170356750488
LSUI,3041.jpg,Moderate,6.5394487380981445,Uniform guide,21.1187744140625,0.8752660751342773
LSUI,3042.jpg,Moderate,6.4180779457092285,Uniform guide,24.533153533935547,0.9189327359199524
LSUI,3043.jpg,Mild,2.116826295852661,Uniform guide,22.332563400268555,0.8604884147644043
LSUI,3044.jpg,Severe,10.224639892578125,Uniform guide,23.7535457611084,0.8927987217903137
LSUI,3037.jpg,Moderate,7.198426246643066,PROTEUS,29.800724029541016,0.9029501080513
LSUI,3038.jpg,Mild,5.5658369064331055,PROTEUS,28.770671844482422,0.9212965965270996
LSUI,3039.jpg,Mild,5.031431198120117,PROTEUS,30.957530975341797,0.9102657437324524
LSUI,3040.jpg,Moderate,6.949172496795654,PROTEUS,28.641536712646484,0.8910872936248779
LSUI,3041.jpg,Moderate,6.5394487380981445,PROTEUS,29.07123374938965,0.9069262146949768
LSUI,3042.jpg,Moderate,6.4180779457092285,PROTEUS,25.744096755981445,0.9248368144035339
LSUI,3043.jpg,Mild,2.116826295852661,PROTEUS,20.924301147460938,0.8585174083709717
LSUI,3044.jpg,Severe,10.224639892578125,PROTEUS,25.68345832824707,0.89849853515625
LSUI,3045.jpg,Moderate,6.0960893630981445,Input,21.519351959228516,0.8159026503562927
LSUI,3046.jpg,Mild,4.493317604064941,Input,17.560699462890625,0.7624762058258057
LSUI,3047.jpg,Mild,3.6401965618133545,Input,21.159021377563477,0.828579843044281
LSUI,3048.jpg,Moderate,7.0254950523376465,Input,19.424442291259766,0.8768115043640137
LSUI,3049.jpg,Moderate,7.443399906158447,Input,21.47637939453125,0.8239782452583313
LSUI,3050.jpg,Mild,5.0275044441223145,Input,22.538532257080078,0.8511133193969727
LSUI,3051.jpg,Severe,9.134711265563965,Input,21.075408935546875,0.8232650756835938
LSUI,3052.jpg,Moderate,6.571023464202881,Input,17.895153045654297,0.7852099537849426
LSUI,3045.jpg,Moderate,6.0960893630981445,WWE-UIE,26.564613342285156,0.8854640126228333
LSUI,3046.jpg,Mild,4.493317604064941,WWE-UIE,24.46538543701172,0.8939077854156494
LSUI,3047.jpg,Mild,3.6401965618133545,WWE-UIE,27.205198287963867,0.9186643958091736
LSUI,3048.jpg,Moderate,7.0254950523376465,WWE-UIE,28.228418350219727,0.942296028137207
LSUI,3049.jpg,Moderate,7.443399906158447,WWE-UIE,29.424232482910156,0.9088390469551086
LSUI,3050.jpg,Mild,5.0275044441223145,WWE-UIE,26.288162231445312,0.9165559411048889
LSUI,3051.jpg,Severe,9.134711265563965,WWE-UIE,26.724895477294922,0.8053109645843506
LSUI,3052.jpg,Moderate,6.571023464202881,WWE-UIE,25.058494567871094,0.8868474364280701
LSUI,3045.jpg,Moderate,6.0960893630981445,Uniform guide,17.049068450927734,0.7696076035499573
LSUI,3046.jpg,Mild,4.493317604064941,Uniform guide,20.935258865356445,0.8246229290962219
LSUI,3047.jpg,Mild,3.6401965618133545,Uniform guide,25.94997215270996,0.9057361483573914
LSUI,3048.jpg,Moderate,7.0254950523376465,Uniform guide,26.175745010375977,0.9324538111686707
LSUI,3049.jpg,Moderate,7.443399906158447,Uniform guide,25.984304428100586,0.8818721771240234
LSUI,3050.jpg,Mild,5.0275044441223145,Uniform guide,20.137371063232422,0.8664095997810364
LSUI,3051.jpg,Severe,9.134711265563965,Uniform guide,23.843706130981445,0.8289003372192383
